price,room_type,longitude,latitude,neighbourhood_group,calculated_host_listings_count,availability_365,room_type_code,neighbourhood_group_code
50,Private room,-73.95104,40.82245,Manhattan,3,355,1,2
52,Private room,-73.95466,40.81305,Manhattan,1,255,1,2
55,Private room,-73.93762,40.72219,Brooklyn,3,284,1,1
50,Private room,-73.95318,40.8213,Manhattan,3,359,1,2
70,Private room,-73.95473,40.6831,Brooklyn,2,269,1,1
89,Private room,-73.9878,40.66869,Brooklyn,3,340,1,1
35,Private room,-73.94312,40.68876,Brooklyn,1,365,1,1
85,Entire home/apt,-73.92745,40.70186,Brooklyn,2,22,0,1
150,Private room,-73.96327,40.63702,Brooklyn,1,365,1,1
40,Shared room,-73.98917,40.71401,Manhattan,4,188,2,2
68,Private room,-73.98199,40.7229,Manhattan,2,96,1,2
120,Entire home/apt,-73.97966,40.66278,Brooklyn,1,345,0,1
120,Private room,-73.97584,40.69673,Brooklyn,1,311,1,1
135,Private room,-73.97927,40.79009,Manhattan,1,273,1,2
150,Entire home/apt,-73.94478,40.81175,Manhattan,1,309,0,2
150,Entire home/apt,-73.96238,40.65944,Brooklyn,1,95,0,1
130,Private room,-73.9474,40.74771,Queens,1,215,1,3
110,Entire home/apt,-73.95591,40.68111,Brooklyn,1,265,0,1
115,Entire home/apt,-73.9409,40.68554,Brooklyn,1,0,0,1
80,Private room,-73.97376,40.69142,Brooklyn,2,192,1,1
80,Private room,-73.93934,40.68043,Brooklyn,3,251,1,1
151,Entire home/apt,-73.97008,40.78635,Manhattan,1,302,0,2
228,Entire home/apt,-73.9356,40.7042,Brooklyn,1,140,0,1
144,Entire home/apt,-73.95392,40.73506,Brooklyn,1,234,0,1
200,Entire home/apt,-73.98074,40.73961,Manhattan,1,257,0,2
150,Entire home/apt,-73.9593,40.70881,Brooklyn,1,30,0,1
110,Private room,-73.99104,40.72004,Manhattan,1,301,1,2
69,Private room,-73.99293,40.75531,Manhattan,2,294,1,2
49,Private room,-73.93788,40.72401,Brooklyn,3,320,1,1
180,Entire home/apt,-73.99775,40.7221,Manhattan,1,154,0,2
80,Private room,-73.96204,40.71185,Brooklyn,1,263,1,1
250,Entire home/apt,-73.95269,40.77065,Manhattan,2,231,0,2
200,Entire home/apt,-73.96428,40.67811,Brooklyn,2,297,0,1
55,Private room,-73.96788,40.69,Brooklyn,2,292,1,1
52,Private room,-73.99119,40.75979,Manhattan,1,191,1,2
225,Entire home/apt,-73.98338,40.67343,Brooklyn,1,0,0,1
80,Private room,-73.97904,40.72649,Manhattan,2,72,1,2
275,Entire home/apt,-73.96792,40.70933,Brooklyn,1,362,0,1
99,Private room,-73.98474,40.72298,Manhattan,2,336,1,2
225,Entire home/apt,-73.93922,40.80164,Manhattan,1,215,0,2
230,Entire home/apt,-73.98008,40.72162,Manhattan,1,116,0,2
51,Private room,-73.98865,40.76342,Manhattan,1,88,1,2
65,Private room,-73.94095,40.83139,Manhattan,2,336,1,2
105,Private room,-73.96374,40.68346,Brooklyn,1,304,1,1
190,Entire home/apt,-73.98801,40.72828,Manhattan,1,224,0,2
200,Private room,-73.95058,40.76865,Manhattan,1,322,1,2
70,Private room,-73.90334,40.75038,Queens,1,324,1,3
95,Private room,-73.97267,40.6932,Brooklyn,1,132,1,1
150,Private room,-74.00197,40.74138,Manhattan,1,295,1,2
145,Private room,-73.96112,40.71154,Brooklyn,4,238,1,1
110,Entire home/apt,-73.95136,40.82915,Manhattan,1,209,0,2
285,Entire home/apt,-73.98892,40.71851,Manhattan,1,328,0,2
130,Entire home/apt,-73.96323,40.65401,Brooklyn,1,38,0,1
94,Private room,-73.98794,40.7114,Manhattan,1,188,1,2
105,Entire home/apt,-73.95748,40.71833,Brooklyn,1,272,0,1
60,Private room,-73.9844,40.72334,Manhattan,1,26,1,2
50,Private room,-73.98057,40.72912,Manhattan,1,0,1,2
85,Private room,-73.96218,40.71156,Brooklyn,4,288,1,1
65,Private room,-73.9383,40.70032,Brooklyn,1,317,1,1
131,Entire home/apt,-73.97261,40.68233,Brooklyn,1,207,0,1
98,Private room,-73.966,40.68634,Brooklyn,6,185,1,1
250,Entire home/apt,-73.97162,40.68035,Brooklyn,1,158,0,1
100,Entire home/apt,-73.95775,40.70984,Brooklyn,1,0,0,1
105,Entire home/apt,-73.92609,40.70093,Brooklyn,2,9,0,1
140,Entire home/apt,-73.96177,40.79764,Manhattan,1,198,0,2
89,Private room,-73.94731,40.82803,Manhattan,1,365,1,2
98,Private room,-74.00271,40.74008,Manhattan,2,364,1,2
125,Entire home/apt,-73.92357,40.68413,Brooklyn,2,311,0,1
60,Private room,-73.95139,40.82279,Manhattan,3,219,1,2
175,Entire home/apt,-74.00154,40.67967,Brooklyn,3,342,0,1
65,Private room,-73.94281,40.83927,Manhattan,1,312,1,2
101,Private room,-73.94177,40.71332,Brooklyn,1,152,1,1
220,Entire home/apt,-73.98109,40.66941,Brooklyn,1,9,0,1
125,Entire home/apt,-73.92377,40.68373,Brooklyn,2,137,0,1
80,Entire home/apt,-73.94844,40.71459,Brooklyn,1,222,0,1
100,Private room,-73.94421,40.8092,Manhattan,1,346,1,2
200,Entire home/apt,-73.98989,40.68157,Brooklyn,1,208,0,1
59,Private room,-73.99291,40.75527,Manhattan,2,279,1,2
125,Private room,-73.96572,40.68698,Brooklyn,6,250,1,1
140,Entire home/apt,-73.98192,40.7288,Manhattan,1,164,0,2
120,Entire home/apt,-73.98912,40.66853,Brooklyn,2,192,0,1
199,Entire home/apt,-73.98009,40.74294,Manhattan,1,260,0,2
325,Entire home/apt,-73.95748,40.71942,Brooklyn,1,107,0,1
235,Entire home/apt,-73.97637,40.77823,Manhattan,1,199,0,2
225,Entire home/apt,-73.97965,40.72555,Manhattan,4,299,0,2
99,Private room,-73.98604,40.66831,Brooklyn,3,20,1,1
170,Entire home/apt,-73.94919,40.82754,Manhattan,1,318,0,2
170,Entire home/apt,-73.97556,40.77842,Manhattan,1,224,0,2
100,Entire home/apt,-73.98527,40.72245,Manhattan,1,0,0,2
75,Private room,-73.96053,40.65593,Brooklyn,1,324,1,1
90,Private room,-73.96468,40.71923,Brooklyn,1,245,1,1
150,Entire home/apt,-73.94822,40.778,Manhattan,1,189,0,2
85,Private room,-73.93128,40.85879,Manhattan,1,307,1,2
70,Private room,-73.9547,40.68332,Brooklyn,2,310,1,1
120,Entire home/apt,-73.94894,40.81618,Manhattan,3,213,0,2
89,Private room,-73.96351,40.68414,Brooklyn,1,278,1,1
185,Entire home/apt,-73.99143,40.72392,Manhattan,1,209,0,2
50,Private room,-73.9503,40.73494,Brooklyn,1,0,1,1
105,Entire home/apt,-73.98856,40.71341,Manhattan,1,16,0,2
130,Private room,-73.98399,40.76754,Manhattan,3,234,1,2
115,Entire home/apt,-74.00303,40.73442,Manhattan,1,12,0,2
77,Private room,-73.93248,40.63188,Brooklyn,1,178,1,1
76,Private room,-73.9634,40.6873,Brooklyn,3,275,1,1
125,Entire home/apt,-73.93662,40.68296,Brooklyn,2,163,0,1
135,Private room,-73.96765,40.6863,Brooklyn,3,365,1,1
250,Entire home/apt,-73.95348,40.73409,Brooklyn,1,34,0,1
199,Entire home/apt,-73.94835,40.71561,Brooklyn,1,280,0,1
140,Entire home/apt,-73.99183,40.6857,Brooklyn,1,0,0,1
140,Private room,-73.83168,40.74028,Queens,1,1,1,3
115,Entire home/apt,-73.93524,40.68281,Brooklyn,2,170,0,1
160,Entire home/apt,-73.93938,40.71596,Brooklyn,1,188,0,1
195,Entire home/apt,-73.95935,40.71492,Brooklyn,1,214,0,1
195,Entire home/apt,-73.98295,40.72354,Manhattan,1,248,0,2
80,Private room,-73.96087,40.71165,Brooklyn,4,262,1,1
44,Private room,-73.97312,40.69101,Brooklyn,5,280,1,1
156,Private room,-74.00101,40.73474,Manhattan,1,307,1,2
85,Private room,-73.96641,40.67386,Brooklyn,1,339,1,1
125,Private room,-73.96057,40.71536,Brooklyn,1,1,1,1
115,Entire home/apt,-73.96595,40.6741,Brooklyn,1,269,0,1
69,Private room,-73.93997,40.79295,Manhattan,1,10,1,2
225,Entire home/apt,-74.00401,40.73226,Manhattan,1,312,0,2
125,Entire home/apt,-73.96398,40.71363,Brooklyn,1,189,0,1
219,Entire home/apt,-73.9527,40.77711,Manhattan,2,290,0,2
99,Entire home/apt,-73.95323,40.77456,Manhattan,2,164,0,2
69,Private room,-73.95055,40.71088,Brooklyn,2,53,1,1
79,Private room,-73.92313,40.74559,Queens,1,126,1,3
135,Entire home/apt,-73.94659,40.68306,Brooklyn,2,3,0,1
250,Private room,-73.98571,40.70207,Brooklyn,1,189,1,1
250,Entire home/apt,-73.9642,40.76123,Manhattan,1,365,0,2
250,Entire home/apt,-73.99083,40.66858,Brooklyn,1,0,0,1
80,Entire home/apt,-73.94907,40.82704,Manhattan,1,0,0,2
70,Private room,-73.96408,40.68843,Brooklyn,3,336,1,1
165,Entire home/apt,-74.00135,40.6783,Brooklyn,3,342,0,1
70,Private room,-74.08088,40.64524,Staten Island,1,312,1,4
50,Private room,-73.91765,40.70641,Brooklyn,1,37,1,1
40,Private room,-73.93184,40.83232,Bronx,3,353,1,0
150,Entire home/apt,-73.9677,40.71045,Brooklyn,1,177,0,1
125,Private room,-73.98034,40.72518,Manhattan,4,310,1,2
196,Entire home/apt,-74.01374,40.70666,Manhattan,1,0,0,2
110,Private room,-73.97113,40.69098,Brooklyn,2,321,1,1
170,Entire home/apt,-74.00405,40.73756,Manhattan,1,246,0,2
165,Entire home/apt,-73.94791,40.81526,Manhattan,3,231,0,2
150,Entire home/apt,-74.0046,40.73423,Manhattan,1,225,0,2
100,Entire home/apt,-73.9373,40.82374,Manhattan,1,0,0,2
65,Private room,-73.97691,40.68863,Brooklyn,2,0,1,1
99,Private room,-73.95924,40.80549,Manhattan,2,233,1,2
200,Entire home/apt,-73.9587,40.71627,Brooklyn,1,1,0,1
150,Entire home/apt,-73.97863,40.67994,Brooklyn,1,18,0,1
90,Private room,-73.9475,40.67992,Brooklyn,4,343,1,1
120,Private room,-73.97307,40.67868,Brooklyn,3,250,1,1
75,Private room,-73.95334,40.76834,Manhattan,1,326,1,2
175,Entire home/apt,-73.9415,40.68237,Brooklyn,1,364,0,1
125,Entire home/apt,-73.99999,40.74031,Manhattan,1,0,0,2
275,Entire home/apt,-73.99665,40.76307,Manhattan,1,299,0,2
299,Entire home/apt,-73.98852,40.71882,Manhattan,1,207,0,2
135,Entire home/apt,-73.98804,40.6693,Brooklyn,3,162,0,1
130,Private room,-73.95199,40.77333,Manhattan,2,0,1,2
83,Private room,-73.99201,40.72319,Manhattan,1,7,1,2
123,Private room,-73.99671,40.74859,Manhattan,1,328,1,2
55,Private room,-73.76597,40.67252,Queens,2,365,1,3
195,Entire home/apt,-73.99271,40.76244,Manhattan,1,0,0,2
80,Private room,-73.93503,40.69546,Brooklyn,1,0,1,1
98,Entire home/apt,-73.87856,40.71722,Queens,5,240,0,3
140,Private room,-73.89816,40.70234,Queens,5,365,1,3
265,Entire home/apt,-73.87854,40.71546,Queens,5,365,0,3
249,Entire home/apt,-73.95976,40.7195,Brooklyn,2,164,0,1
105,Shared room,-73.98474,40.76548,Manhattan,1,363,2,2
200,Private room,-73.95603,40.80234,Manhattan,1,365,1,2
100,Private room,-73.97262,40.6787,Brooklyn,3,250,1,1
121,Entire home/apt,-73.94598,40.81035,Manhattan,5,247,0,2
45,Private room,-73.93058,40.83075,Bronx,3,323,1,0
100,Private room,-73.94275,40.79958,Manhattan,1,192,1,2
140,Entire home/apt,-73.93845,40.71625,Brooklyn,1,125,0,1
71,Private room,-73.93549,40.6829,Brooklyn,1,91,1,1
130,Private room,-73.99134,40.72773,Manhattan,1,75,1,2
199,Entire home/apt,-74.0049,40.72861,Manhattan,1,286,0,2
69,Private room,-73.95162,40.70979,Brooklyn,2,60,1,1
68,Private room,-73.97525,40.68656,Brooklyn,1,0,1,1
130,Entire home/apt,-73.98432,40.72752,Manhattan,1,192,0,2
195,Entire home/apt,-73.95829,40.729,Brooklyn,1,58,0,1
64,Private room,-73.94499,40.81219,Manhattan,5,245,1,2
140,Entire home/apt,-73.90502,40.77185,Queens,1,292,0,3
159,Entire home/apt,-73.99386,40.68926,Brooklyn,1,279,0,1
189,Entire home/apt,-73.98701,40.72821,Manhattan,1,0,0,2
250,Entire home/apt,-73.98508,40.7672,Manhattan,1,3,0,2
239,Entire home/apt,-73.99053,40.73012,Manhattan,1,351,0,2
305,Entire home/apt,-73.98498,40.7403,Manhattan,1,201,0,2
155,Entire home/apt,-73.94343,40.80931,Manhattan,2,232,0,2
60,Private room,-73.94287,40.8251,Manhattan,2,258,1,2
135,Private room,-73.98397,40.6585,Brooklyn,1,272,1,1
120,Private room,-73.9501,40.76193,Manhattan,1,341,1,2
150,Entire home/apt,-73.98589,40.72052,Manhattan,1,244,0,2
140,Entire home/apt,-73.89934,40.70411,Queens,5,365,0,3
135,Entire home/apt,-73.95967,40.73401,Brooklyn,1,12,0,1
250,Entire home/apt,-73.99503,40.71756,Manhattan,2,265,0,2
250,Entire home/apt,-73.96991,40.7589,Manhattan,1,0,0,2
225,Entire home/apt,-73.99474,40.73194,Manhattan,1,91,0,2
125,Entire home/apt,-73.94573,40.79163,Manhattan,2,365,0,2
92,Private room,-73.94434,40.8118,Manhattan,5,253,1,2
175,Private room,-73.94707,40.81583,Manhattan,1,365,1,2
99,Entire home/apt,-73.98049,40.72654,Manhattan,1,320,0,2
195,Entire home/apt,-73.96071,40.80021,Manhattan,1,0,0,2
140,Entire home/apt,-73.93936,40.80942,Manhattan,3,192,0,2
135,Entire home/apt,-73.9954,40.71961,Manhattan,1,0,0,2
80,Private room,-73.9575,40.80335,Manhattan,2,0,1,2
120,Private room,-73.9908,40.71445,Manhattan,2,353,1,2
110,Entire home/apt,-73.96897,40.75749,Manhattan,1,140,0,2
65,Entire home/apt,-73.9503,40.64446,Brooklyn,1,2,0,1
130,Entire home/apt,-73.99079,40.7268,Manhattan,1,56,0,2
99,Entire home/apt,-73.9171,40.688,Brooklyn,1,68,0,1
36,Private room,-74.08537,40.63536,Staten Island,6,360,1,4
37,Private room,-74.08543,40.63627,Staten Island,6,0,1,4
37,Private room,-74.08546,40.63518,Staten Island,6,320,1,4
175,Entire home/apt,-73.98161,40.72477,Manhattan,2,326,0,2
205,Entire home/apt,-73.99567,40.74238,Manhattan,2,76,0,2
285,Entire home/apt,-73.95511,40.72945,Brooklyn,3,279,0,1
59,Private room,-73.95177,40.70763,Brooklyn,2,15,1,1
36,Private room,-74.08519,40.63481,Staten Island,6,340,1,4
99,Entire home/apt,-73.91433,40.75384,Queens,1,226,0,3
39,Private room,-73.97426,40.64106,Brooklyn,2,365,1,1
60,Private room,-73.98327,40.66793,Brooklyn,2,0,1,1
90,Private room,-73.85514,40.81309,Bronx,7,349,1,0
105,Entire home/apt,-73.83572,40.88057,Bronx,13,365,0,0
135,Entire home/apt,-73.94314,40.68236,Brooklyn,2,11,0,1
70,Private room,-73.95385,40.68503,Brooklyn,4,281,1,1
75,Private room,-73.9263,40.86648,Manhattan,2,323,1,2
60,Private room,-73.95467,40.7069,Brooklyn,4,362,1,1
200,Entire home/apt,-73.98594,40.72807,Manhattan,1,0,0,2
100,Private room,-73.94339,40.6778,Brooklyn,1,301,1,1
70,Private room,-73.94701,40.68317,Brooklyn,4,189,1,1
110,Private room,-73.9529,40.6761,Brooklyn,1,0,1,1
60,Private room,-73.95155,40.67586,Brooklyn,2,287,1,1
90,Entire home/apt,-73.99811,40.71702,Manhattan,1,14,0,2
68,Private room,-73.98157,40.72321,Manhattan,2,86,1,2
115,Entire home/apt,-73.98098,40.77956,Manhattan,1,261,0,2
75,Private room,-73.95264,40.68276,Brooklyn,1,68,1,1
60,Private room,-73.9626,40.71368,Brooklyn,1,0,1,1
129,Entire home/apt,-73.98158,40.72956,Manhattan,1,231,0,2
130,Entire home/apt,-73.95175,40.71069,Brooklyn,1,152,0,1
95,Entire home/apt,-73.94641,40.70863,Brooklyn,1,46,0,1
75,Private room,-73.94307,40.82888,Manhattan,1,364,1,2
175,Entire home/apt,-73.97323,40.67319,Brooklyn,1,246,0,1
190,Entire home/apt,-73.99443,40.67846,Brooklyn,1,288,0,1
49,Private room,-73.94808,40.6715,Brooklyn,5,331,1,1
212,Entire home/apt,-73.98534,40.72681,Manhattan,1,51,0,2
95,Private room,-73.99392,40.71904,Manhattan,3,364,1,2
140,Entire home/apt,-73.9583,40.71031,Brooklyn,1,254,0,1
135,Entire home/apt,-73.95306,40.81322,Manhattan,1,189,0,2
150,Entire home/apt,-73.98225,40.67732,Brooklyn,2,263,0,1
190,Entire home/apt,-73.9896,40.68076,Brooklyn,2,258,0,1
124,Entire home/apt,-73.94903,40.79603,Manhattan,1,103,0,2
135,Entire home/apt,-73.96282,40.71492,Brooklyn,1,42,0,1
122,Private room,-73.95838,40.80393,Manhattan,1,246,1,2
109,Private room,-73.9652,40.80082,Manhattan,2,364,1,2
85,Private room,-73.94867,40.82976,Manhattan,1,318,1,2
145,Entire home/apt,-73.91981,40.683,Brooklyn,2,72,0,1
195,Entire home/apt,-73.9729,40.78971,Manhattan,1,249,0,2
250,Entire home/apt,-73.99495,40.67817,Brooklyn,3,272,0,1
125,Private room,-73.95578,40.73119,Brooklyn,1,325,1,1
150,Entire home/apt,-73.98249,40.78,Manhattan,1,35,0,2
70,Private room,-73.91922,40.70514,Brooklyn,1,203,1,1
90,Private room,-73.92811,40.86713,Manhattan,1,132,1,2
65,Private room,-73.98881,40.73198,Manhattan,1,5,1,2
250,Entire home/apt,-73.93869,40.83494,Manhattan,2,276,0,2
125,Entire home/apt,-73.98945,40.71659,Manhattan,1,102,0,2
200,Entire home/apt,-74.00243,40.72966,Manhattan,1,251,0,2
229,Entire home/apt,-73.95552,40.72898,Brooklyn,1,188,0,1
90,Entire home/apt,-73.90193,40.87207,Bronx,2,346,0,0
110,Entire home/apt,-73.97818,40.77728,Manhattan,1,0,0,2
59,Private room,-73.95341,40.72646,Brooklyn,1,15,1,1
195,Entire home/apt,-73.96101,40.71015,Brooklyn,1,71,0,1
169,Entire home/apt,-73.9597,40.71903,Brooklyn,2,215,0,1
113,Entire home/apt,-73.93985,40.80892,Manhattan,3,253,0,2
250,Entire home/apt,-73.9567,40.80276,Manhattan,1,78,0,2
115,Entire home/apt,-73.93426,40.77635,Queens,1,257,0,3
55,Private room,-73.95018,40.72488,Brooklyn,1,0,1,1
69,Private room,-73.95763,40.71398,Brooklyn,2,8,1,1
150,Entire home/apt,-73.98394,40.71876,Manhattan,1,191,0,2
169,Entire home/apt,-73.99019,40.66552,Brooklyn,3,182,0,1
179,Private room,-73.95292,40.73749,Brooklyn,28,79,1,1
150,Private room,-73.9913,40.76248,Manhattan,1,49,1,2
135,Entire home/apt,-73.98876,40.68674,Brooklyn,1,0,0,1
120,Private room,-73.95455,40.70516,Brooklyn,6,343,1,1
71,Private room,-73.98486,40.72329,Manhattan,1,200,1,2
165,Entire home/apt,-73.98142,40.67542,Brooklyn,2,189,0,1
249,Private room,-73.95312,40.73842,Brooklyn,28,60,1,1
100,Private room,-73.99832,40.6926,Brooklyn,2,0,1,1
200,Entire home/apt,-73.99771,40.69441,Brooklyn,2,106,0,1
169,Entire home/apt,-73.98374,40.72399,Manhattan,1,276,0,2
185,Entire home/apt,-73.94615,40.6824,Brooklyn,1,248,0,1
65,Entire home/apt,-73.91708,40.68949,Brooklyn,1,194,0,1
130,Entire home/apt,-73.97258,40.68819,Brooklyn,1,135,0,1
199,Entire home/apt,-73.96015,40.7205,Brooklyn,1,30,0,1
225,Entire home/apt,-73.98094,40.72451,Manhattan,1,0,0,2
179,Private room,-73.95394,40.73813,Brooklyn,28,81,1,1
150,Entire home/apt,-73.94715,40.67591,Brooklyn,1,0,0,1
139,Entire home/apt,-73.98895,40.72843,Manhattan,1,142,0,2
95,Private room,-73.99776,40.71271,Manhattan,2,60,1,2
79,Entire home/apt,-73.94735,40.66966,Brooklyn,5,179,0,1
150,Entire home/apt,-73.98766,40.71965,Manhattan,2,52,0,2
90,Entire home/apt,-73.94911,40.68048,Brooklyn,4,324,0,1
120,Entire home/apt,-73.93963,40.68314,Brooklyn,2,237,0,1
80,Private room,-73.91117,40.75961,Queens,2,365,1,3
100,Entire home/apt,-73.94494,40.67473,Brooklyn,1,365,0,1
175,Entire home/apt,-73.93185,40.69305,Brooklyn,1,204,0,1
120,Entire home/apt,-73.95663,40.67174,Brooklyn,1,272,0,1
140,Entire home/apt,-73.95098,40.71055,Brooklyn,1,0,0,1
200,Entire home/apt,-73.95458,40.69465,Brooklyn,1,9,0,1
165,Private room,-73.96542,40.68413,Brooklyn,3,365,1,1
125,Entire home/apt,-73.97707,40.73877,Manhattan,3,181,0,2
130,Entire home/apt,-73.99544,40.74893,Manhattan,1,189,0,2
65,Shared room,-73.94102,40.79406,Manhattan,2,0,2,2
123,Entire home/apt,-73.97332,40.68795,Brooklyn,1,189,0,1
67,Private room,-73.93361,40.85295,Manhattan,1,296,1,2
130,Entire home/apt,-73.99187,40.66918,Brooklyn,1,35,0,1
100,Private room,-73.95613,40.71125,Brooklyn,1,0,1,1
212,Entire home/apt,-73.9696,40.78558,Manhattan,1,35,0,2
190,Entire home/apt,-73.96053,40.71577,Brooklyn,1,359,0,1
249,Entire home/apt,-73.98745,40.72577,Manhattan,2,365,0,2
70,Private room,-73.81245,40.58615,Queens,1,335,1,3
100,Entire home/apt,-73.94872,40.67086,Brooklyn,5,282,0,1
60,Private room,-73.95231,40.82773,Manhattan,2,247,1,2
135,Entire home/apt,-73.95684,40.68505,Brooklyn,1,102,0,1
175,Entire home/apt,-73.95493,40.72911,Brooklyn,3,274,0,1
120,Entire home/apt,-73.98567,40.77944,Manhattan,1,201,0,2
169,Entire home/apt,-73.98876,40.74503,Manhattan,1,98,0,2
165,Entire home/apt,-73.96093,40.67539,Brooklyn,1,157,0,1
90,Private room,-73.95189,40.8054,Manhattan,1,0,1,2
225,Entire home/apt,-73.9508,40.78491,Manhattan,1,312,0,2
95,Private room,-73.97307,40.69088,Brooklyn,2,331,1,1
55,Private room,-73.95057,40.67555,Brooklyn,2,275,1,1
85,Private room,-73.99193,40.75835,Manhattan,1,174,1,2
199,Entire home/apt,-73.9886,40.66527,Brooklyn,2,223,0,1
211,Entire home/apt,-73.99434,40.71895,Manhattan,3,361,0,2
145,Entire home/apt,-73.96699,40.75579,Manhattan,1,0,0,2
65,Private room,-73.95328,40.82399,Manhattan,1,283,1,2
99,Entire home/apt,-73.94095,40.81822,Manhattan,1,220,0,2
110,Entire home/apt,-73.92132,40.76434,Queens,1,363,0,3
80,Entire home/apt,-73.94925,40.67705,Brooklyn,4,315,0,1
150,Entire home/apt,-73.99438,40.69263,Brooklyn,1,281,0,1
110,Entire home/apt,-73.92747,40.68448,Brooklyn,1,283,0,1
290,Private room,-74.00208,40.74412,Manhattan,1,20,1,2
87,Private room,-73.98702,40.73067,Manhattan,1,0,1,2
190,Entire home/apt,-73.94061,40.70665,Brooklyn,1,331,0,1
200,Entire home/apt,-73.95952,40.72063,Brooklyn,1,36,0,1
165,Entire home/apt,-73.98082,40.67644,Brooklyn,2,7,0,1
110,Entire home/apt,-73.94794,40.80481,Manhattan,2,301,0,2
99,Private room,-73.93038,40.68569,Brooklyn,2,307,1,1
39,Private room,-73.97255,40.64302,Brooklyn,2,365,1,1
189,Entire home/apt,-73.98857,40.72939,Manhattan,3,201,0,2
85,Private room,-73.96607,40.79918,Manhattan,1,0,1,2
260,Entire home/apt,-73.9926,40.66862,Brooklyn,1,316,0,1
122,Entire home/apt,-73.94453,40.81333,Manhattan,5,271,0,2
165,Entire home/apt,-73.95199,40.72473,Brooklyn,1,139,0,1
97,Entire home/apt,-73.85262,40.70925,Queens,3,209,0,3
170,Entire home/apt,-74.00922,40.73215,Manhattan,1,0,0,2
125,Entire home/apt,-73.94332,40.71109,Brooklyn,1,0,0,1
130,Private room,-73.97926,40.7463,Manhattan,1,193,1,2
225,Entire home/apt,-73.95849,40.71823,Brooklyn,1,52,0,1
50,Private room,-73.94886,40.651,Brooklyn,2,136,1,1
170,Entire home/apt,-73.97598,40.68626,Brooklyn,2,286,0,1
132,Entire home/apt,-74.001,40.74488,Manhattan,1,0,0,2
250,Entire home/apt,-73.97616,40.67632,Brooklyn,1,18,0,1
141,Entire home/apt,-73.94254,40.72212,Brooklyn,1,9,0,1
64,Entire home/apt,-73.95151,40.67456,Brooklyn,1,3,0,1
249,Entire home/apt,-73.96019,40.71363,Brooklyn,1,277,0,1
79,Private room,-73.95878,40.6755,Brooklyn,1,0,1,1
185,Entire home/apt,-73.97581,40.72274,Manhattan,1,233,0,2
120,Entire home/apt,-73.9828,40.6858,Brooklyn,1,221,0,1
175,Entire home/apt,-73.99706,40.72094,Manhattan,1,277,0,2
150,Entire home/apt,-73.97813,40.72485,Manhattan,1,0,0,2
259,Entire home/apt,-73.9532,40.80473,Manhattan,1,343,0,2
96,Private room,-73.98419,40.72217,Manhattan,1,0,1,2
145,Entire home/apt,-73.9565,40.71943,Brooklyn,1,0,0,1
200,Entire home/apt,-74.00329,40.74249,Manhattan,1,0,0,2
95,Entire home/apt,-73.97294,40.79264,Manhattan,1,0,0,2
250,Entire home/apt,-73.97675,40.65749,Brooklyn,1,188,0,1
295,Entire home/apt,-73.94688,40.80474,Manhattan,2,264,0,2
175,Entire home/apt,-74.00177,40.72831,Manhattan,1,0,0,2
165,Entire home/apt,-73.96245,40.79765,Manhattan,1,236,0,2
250,Entire home/apt,-73.95332,40.78508,Manhattan,1,0,0,2
77,Entire home/apt,-73.8639,40.89747,Bronx,1,309,0,0
